назва;катэгорыя;падказка
жаба;паўзуны і земнаводныя;бясхвостыя земнаводныя жывёлы з бугрыстай, часта бародаўчатай слізкай скурай бурага, шэрага або зялёнага колеру
мядзянка;паўзуны і земнаводныя;неядавітая змяя шэрага, шэра-бурага або медна-чырвонага колеру
трытон;паўзуны і земнаводныя;хвастатае земнаводнае, якое нагадвае яшчарку
яшчарка;паўзуны і земнаводныя;невялікі паўзун з доўгім хвастом і прадаўгаватым целам, пакрытым дробнай рагавой луской
акунь;рыбы;рачная драпежная рыба зеленавата-жоўтага колеру з цёмнымі папярочнымі палосамі, з чырванаватымі ніжнімі плаўнікамі і калючым спінным плаўніком
вугор;рыбы;рыба, якая мае доўгае, падобнае да змяінага цела з невялікай прыплюснутай галавой
краснапёрка;рыбы;рыба, падобная да плоткі, але з жаўтавата-залацістай або серабрыстай луской і ярка-чырвонымі плаўнікамі
мянтуз;рыбы;драпежная рыба, якая жыве ў халодных чыстых рэках і азёрах, трымаючыся на дне сярод камянёў і карчоў, з круглаватым падоўжаным целам
карась;рыбы;рыба з кароткім целам, пакрытым цёмна-залацістай або цёмна-серабрыстай луской, водзіцца ў вадаёмах з воднай расліннасцю і ілістым дном
мінога;рыбы;невялікая рыбападобная жывёліна з целам шэрага колеру без лускі, формай нагадвае чарвяка і жыве ў рэчках на дне, закапаўшыся ў чысты пясок
плотка;рыбы;невялікая рачная рыба з нешырокім, прыплюснутым з бакоў целам, пакрытым серабрыстай луской, з цёмна-зеленаватай спінкай і ружовымі плаўнікамі
рапушка;рыбы;невялікая рыба з выцягнутым, сціснутым з бакоў целам, шэравата-блакітнай спінкай, белаватымі бакамі, плаўнікамі і хвастом, якая водзіцца ў некаторых азёрах Беларусі
рыбец;рыбы;рыба з умерана падоўжаным целам, шэра-блакітнай спіной, светлымі бакамі і жаўтаватымі плаўнікамі, пакрыта буйной шчыльнай луской, водзіцца пераважна ў рэках Балтыйскага басейна
шчупак;рыбы;драпежная рыба з доўгім выцягнутым тулавам шэра-зялёнага або бурага колеру ў плямах, з вялікай сплюснутай галавой, з шырокай зубастай пашчай, жыве ў рэках і азёрах
авадзень;казуркі і ніжэйшыя;двухкрылая інсэкта, лічынкі якой паразітуюць у целе жывёлы
блыха;казуркі і ніжэйшыя;маленькая паразітычная бяскрылая інсэкта-крывасмок
бзьдзюль;казуркі і ніжэйшыя;палявы (лясны) клоп
вадамерка;казуркі і ніжэйшыя;вадзяны клоп рыжаватага колеру, які хутка і лёгка слізгае па паверхні вады
багоўка;казуркі і ніжэйшыя;жучок чырвонай, жоўтай або белай афарбоўкі з плямкамі
вусень;казуркі і ніжэйшыя;лічынка матыля, падобная да чарвяка, з некалькімі парамі ног
мурашка;казуркі і ніжэйшыя;невялікая інсэкта атрада перапончатакрылых, жыве вялікімі калоніямі
мядзведка;казуркі і ніжэйшыя;інсэкта з тоўстым целам, пакрытым кароткімі мяккімі валаскамі, жыве ў зямлі і шкодзіць сельскагаспадарчым культурам
павук;казуркі і ніжэйшыя;членістаногае, якое пляце павуціну для лоўлі іншых насякомых, якімі корміцца
прусак;казуркі і ніжэйшыя;рыжы таракан, які водзіцца ў жылых памяшканнях, корміцца расліннымі і жывёльнымі рэшткамі
цвыркун;казуркі і ніжэйшыя;інсэкта атрада прастакрылых, якая трэннем крыл утварае строкат
жужаль;казуркі і ніжэйшыя;драпежны начны жук
стрэлка;казуркі і ніжэйшыя;драпежная казурка з доўгім брушкам і дзвюма парамі празрыстых сеткавых крылаў
мятлушка;казуркі і ніжэйшыя;казурка з дзвюма парамі крылаў, пакрытых пылком рознага колеру, ад якога залежыць іх афарбоўка
хрушч;казуркі і ніжэйшыя;жук сямейства пласцініставусых
конік;казуркі і ніжэйшыя;казурка, што скача і стракоча крыламі
шашаль;казуркі і ніжэйшыя;інсэкта атрада жукоў, лічынкі якой псуюць вырабы са скуры, точаць дрэва
сляпень;казуркі і ніжэйшыя;двухкрылая інсэкта-крывасмок, самка якой жывіцца крывёй жывёлы і чалавека
камар;казуркі і ніжэйшыя;маленькая двухкрылая інсэкта-крывасмок з тонкім прадаўгаватым цельцам і доўгім хабатком
клешч;казуркі і ніжэйшыя;невялікае членістаногае класа павукападобных, якое паразітуе на целе чалавека, жывёлы, а таксама на раслінах
саранча;казуркі і ніжэйшыя;інсэкта, падобная да коніка, якая, пралятаючы вялікімі чародамі, нішчыць пасевы
траўніца;казуркі і ніжэйшыя;дробная казурка-шкодніца атрада раўнакрылых, жывіцца сокам раслін
